puma_geoid,tract_geoid
79500US0607304,14000US06073022100
79500US0607304,14000US06073020017
79500US0607304,14000US06073018504
79500US0607304,14000US06073018518
79500US0607304,14000US06073018517
79500US0607304,14000US06073018519
79500US0607304,14000US06073019405
79500US0607304,14000US06073019805
79500US0607304,14000US06073019804
79500US0607304,14000US06073017810
79500US0607304,14000US06073020016
79500US0607304,14000US06073019701
79500US0607304,14000US06073020013
79500US0607304,14000US06073020015
79500US0607304,14000US06073019702
79500US0607304,14000US06073017604
79500US0607304,14000US06073020019
79500US0607304,14000US06073019904
79500US0607304,14000US06073019905
79500US0607304,14000US06073019806
79500US0607304,14000US06073017809
79500US0607304,14000US06073017701
79500US0607304,14000US06073017811
79500US0607304,14000US06073017900
79500US0607304,14000US06073017808
79500US0607304,14000US06073018000
79500US0607304,14000US06073018100
79500US0607304,14000US06073018515
79500US0607304,14000US06073020014
79500US0607304,14000US06073019803
79500US0607304,14000US06073017601
79500US0607304,14000US06073019808
79500US0607304,14000US06073017801
79500US0607319,14000US06073003214
79500US0607319,14000US06073010014
79500US0607319,14000US06073010015
79500US0607319,14000US06073003105
79500US0607319,14000US06073003103
79500US0607319,14000US06073013419
79500US0607319,14000US06073013503
79500US0607319,14000US06073015403
79500US0607319,14000US06073013505
79500US0607319,14000US06073013604
79500US0607319,14000US06073013506
79500US0607319,14000US06073013802
79500US0607319,14000US06073013908
79500US0607319,14000US06073013907
79500US0607319,14000US06073014001
79500US0607319,14000US06073013909
79500US0607319,14000US06073013905
79500US0607319,14000US06073014200
79500US0607319,14000US06073014002
79500US0607319,14000US06073014101
79500US0607319,14000US06073014102
79500US0607319,14000US06073021302
79500US0607319,14000US06073014300
79500US0607319,14000US06073014500
79500US0607319,14000US06073013701
79500US0607319,14000US06073021204
79500US0607319,14000US06073003003
79500US0607319,14000US06073013702
79500US0607319,14000US06073013906
79500US0607319,14000US06073013606
79500US0607319,14000US06073013903
79500US0607319,14000US06073014400
79500US0607319,14000US06073015200
79500US0607319,14000US06073015405
79500US0607319,14000US06073013504
79500US0607319,14000US06073021100
79500US0607319,14000US06073013605
79500US0607319,14000US06073015406
79500US0607319,14000US06073015501
79500US0607319,14000US06073021303
79500US0607319,14000US06073013801
79500US0607319,14000US06073003108
79500US0607319,14000US06073003107
79500US0607319,14000US06073003004
79500US0607319,14000US06073013410
79500US0607319,14000US06073021304
79500US0607319,14000US06073014602
79500US0607319,14000US06073013601
79500US0607319,14000US06073015502
79500US0607319,14000US06073021202
79500US0607319,14000US06073015302
79500US0607319,14000US06073002703
79500US0607319,14000US06073014901
79500US0607319,14000US06073013314
79500US0607319,14000US06073015404
79500US0607316,14000US06073003403
79500US0607316,14000US06073003502
79500US0607316,14000US06073003501
79500US0607316,14000US06073003603
79500US0607316,14000US06073003800
79500US0607316,14000US06073004000
79500US0607316,14000US06073003901
79500US0607316,14000US06073003902
79500US0607316,14000US06073004100
79500US0607316,14000US06073990100
79500US0607316,14000US06073021900
79500US0607316,14000US06073021400
79500US0607316,14000US06073000500
79500US0607316,14000US06073000400
79500US0607316,14000US06073000300
79500US0607316,14000US06073000600
79500US0607316,14000US06073009901
79500US0607316,14000US06073010103
79500US0607316,14000US06073005900
79500US0607316,14000US06073006200
79500US0607316,14000US06073000700
79500US0607316,14000US06073000900
79500US0607316,14000US06073000800
79500US0607316,14000US06073001000
79500US0607316,14000US06073001100
79500US0607316,14000US06073001200
79500US0607316,14000US06073001300
79500US0607316,14000US06073001500
79500US0607316,14000US06073001400
79500US0607316,14000US06073001700
79500US0607316,14000US06073001600
79500US0607316,14000US06073008902
79500US0607316,14000US06073007100
79500US0607316,14000US06073005000
79500US0607316,14000US06073002401
79500US0607316,14000US06073002501
79500US0607316,14000US06073001800
79500US0607316,14000US06073001900
79500US0607316,14000US06073006500
79500US0607316,14000US06073004501
79500US0607316,14000US06073000100
79500US0607316,14000US06073004700
79500US0607316,14000US06073004800
79500US0607316,14000US06073004600
79500US0607316,14000US06073004400
79500US0607316,14000US06073004300
79500US0607316,14000US06073004900
79500US0607316,14000US06073005700
79500US0607316,14000US06073005500
79500US0607316,14000US06073005300
79500US0607316,14000US06073005200
79500US0607316,14000US06073005100
79500US0607316,14000US06073005400
79500US0607316,14000US06073005800
79500US0607316,14000US06073006000
79500US0607316,14000US06073006300
79500US0607316,14000US06073006100
79500US0607316,14000US06073010601
79500US0607316,14000US06073011000
79500US0607316,14000US06073011100
79500US0607316,14000US06073011300
79500US0607316,14000US06073005600
79500US0607316,14000US06073009902
79500US0607316,14000US06073009304
79500US0607316,14000US06073003601
79500US0607316,14000US06073021600
79500US0607316,14000US06073000201
79500US0607316,14000US06073004200
79500US0607316,14000US06073002502
79500US0607316,14000US06073000202
79500US0607317,14000US06073003403
79500US0607317,14000US06073003404
79500US0607317,14000US06073004100
79500US0607317,14000US06073002903
79500US0607317,14000US06073002902
79500US0607317,14000US06073001100
79500US0607317,14000US06073001200
79500US0607317,14000US06073001300
79500US0607317,14000US06073001500
79500US0607317,14000US06073001700
79500US0607317,14000US06073001600
79500US0607317,14000US06073014500
79500US0607317,14000US06073014700
79500US0607317,14000US06073003003
79500US0607317,14000US06073002402
79500US0607317,14000US06073002302
79500US0607317,14000US06073002301
79500US0607317,14000US06073002401
79500US0607317,14000US06073002501
79500US0607317,14000US06073002707
79500US0607317,14000US06073002708
79500US0607317,14000US06073002705
79500US0607317,14000US06073002709
79500US0607317,14000US06073001800
79500US0607317,14000US06073001900
79500US0607317,14000US06073002001
79500US0607317,14000US06073014400
79500US0607317,14000US06073009706
79500US0607317,14000US06073003401
79500US0607317,14000US06073002601
79500US0607317,14000US06073002702
79500US0607317,14000US06073002602
79500US0607317,14000US06073002710
79500US0607317,14000US06073002801
79500US0607317,14000US06073002905
79500US0607317,14000US06073002002
79500US0607317,14000US06073002100
79500US0607317,14000US06073002201
79500US0607317,14000US06073002202
